Beta,Starting point,Iterations
0.3,-80,13
0.3,-75,13
0.3,-70,13
0.3,-65,13
0.3,-60,12
0.3,-55,12
0.3,-50,12
0.3,-45,12
0.3,-40,12
0.3,-35,12
0.3,-30,12
0.3,-25,12
0.3,-20,12
0.3,-15,12
0.3,-10,11
0.3,-5,11
0.3,0,10
0.3,5,11
0.3,10,11
0.3,15,12
0.3,20,12
0.3,25,12
0.3,30,12
0.3,35,12
0.3,40,12
0.3,45,12
0.3,50,12
0.3,55,12
0.3,60,12
0.3,65,13
0.3,70,13
0.3,75,13
0.3,80,13
0.3,85,13
0.3,90,13
0.3,95,13
0.3,100,13
0.31,-100,14
0.31,-95,14
0.31,-90,14
0.31,-85,14
0.31,-80,14
0.31,-75,14
0.31,-70,14
0.31,-65,14
0.31,-60,14
0.31,-55,14
0.31,-50,14
0.31,-45,14
0.31,-40,14
0.31,-35,14
0.31,-30,14
0.31,-25,13
0.31,-20,13
0.31,-15,13
0.31,-10,13
0.31,-5,12
0.31,0,11
0.31,5,12
0.31,10,13
0.31,15,13
0.31,20,13
0.31,25,13
0.31,30,14
0.31,35,14
0.31,40,14
0.31,45,14
0.31,50,14
0.31,55,14
0.31,60,14
0.31,65,14
0.31,70,14
0.31,75,14
0.31,80,14
0.31,85,14
0.31,90,14
0.31,95,14
0.31,100,14
0.32,-100,16
0.32,-95,16
0.32,-90,16
0.32,-85,16
0.32,-80,16
0.32,-75,16
0.32,-70,16
0.32,-65,16
0.32,-60,16
0.32,-55,16
0.32,-50,16
0.32,-45,15
0.32,-40,15
0.32,-35,15
0.32,-30,15
0.32,-25,15
0.32,-20,15
0.32,-15,15
0.32,-10,14
0.32,-5,14
0.32,0,12
0.32,5,14
0.32,10,14
0.32,15,15
0.32,20,15
0.32,25,15
0.32,30,15
0.32,35,15
0.32,40,15
0.32,45,15
0.32,50,16
0.32,55,16
0.32,60,16
0.32,65,16
0.32,70,16
0.32,75,16
0.32,80,16
0.32,85,16
0.32,90,16
0.32,95,16
0.32,100,16
0.33,-100,18
0.33,-95,18
0.33,-90,18
0.33,-85,18
0.33,-80,18
0.33,-75,18
0.33,-70,18
0.33,-65,17
0.33,-60,17
0.33,-55,17
0.33,-50,17
0.33,-45,17
0.33,-40,17
0.33,-35,17
0.33,-30,17
0.33,-25,17
0.33,-20,16
0.33,-15,16
0.33,-10,16
0.33,-5,15
0.33,0,14
0.33,5,15
0.33,10,16
0.33,15,16
0.33,20,17
0.33,25,17
0.33,30,17
0.33,35,17
0.33,40,17
0.33,45,17
0.33,50,17
0.33,55,17
0.33,60,17
0.33,65,18
0.33,70,18
0.33,75,18
0.33,80,18
0.33,85,18
0.33,90,18
0.33,95,18
0.33,100,18
0.34,-100,20
0.34,-95,20
0.34,-90,20
0.34,-85,20
0.34,-80,20
0.34,-75,20
0.34,-70,20
0.34,-65,19
0.34,-60,19
0.34,-55,19
0.34,-50,19
0.34,-45,19
0.34,-40,19
0.34,-35,19
0.34,-30,19
0.34,-25,19
0.34,-20,18
0.34,-15,18
0.34,-10,18
0.34,-5,17
0.34,0,15
0.34,5,17
0.34,10,18
0.34,15,18
0.34,20,18
0.34,25,19
0.34,30,19
0.34,35,19
0.34,40,19
0.34,45,19
0.34,50,19
0.34,55,19
0.34,60,19
0.34,65,19
0.34,70,20
0.34,75,20
0.34,80,20
0.34,85,20
0.34,90,20
0.34,95,20
0.34,100,20
0.35,-100,22
0.35,-95,22
0.35,-90,22
0.35,-85,22
0.35,-80,22
0.35,-75,22
0.35,-70,22
0.35,-65,22
0.35,-60,22
0.35,-55,21
0.35,-50,21
0.35,-45,21
0.35,-40,21
0.35,-35,21
0.35,-30,21
0.35,-25,21
0.35,-20,20
0.35,-15,20
0.35,-10,20
0.35,-5,19
0.35,0,17
0.35,5,19
0.35,10,20
0.35,15,20
0.35,20,20
0.35,25,21
0.35,30,21
0.35,35,21
0.35,40,21
0.35,45,21
0.35,50,21
0.35,55,21
0.35,60,22
0.35,65,22
0.35,70,22
0.35,75,22
0.35,80,22
0.35,85,22
0.35,90,22
0.35,95,22
0.35,100,22
0.36,-100,25
0.36,-95,25
0.36,-90,24
0.36,-85,24
0.36,-80,24
0.36,-75,24
0.36,-70,24
0.36,-65,24
0.36,-60,24
0.36,-55,24
0.36,-50,24
0.36,-45,24
0.36,-40,23
0.36,-35,23
0.36,-30,23
0.36,-25,23
0.36,-20,23
0.36,-15,22
0.36,-10,22
0.36,-5,21
0.36,0,19
0.36,5,21
0.36,10,22
0.36,15,22
0.36,20,23
0.36,25,23
0.36,30,23
0.36,35,23
0.36,40,24
0.36,45,24
0.36,50,24
0.36,55,24
0.36,60,24
0.36,65,24
0.36,70,24
0.36,75,24
0.36,80,24
0.36,85,24
0.36,90,25
0.36,95,25
0.36,100,25
0.37,-100,27
0.37,-95,27
0.37,-90,27
0.37,-85,27
0.37,-80,27
0.37,-75,27
0.37,-70,27
0.37,-65,27
0.37,-60,27
0.37,-55,27
0.37,-50,27
0.37,-45,26
0.37,-40,26
0.37,-35,26
0.37,-30,26
0.37,-25,26
0.37,-20,25
0.37,-15,25
0.37,-10,24
0.37,-5,23
0.37,0,21
0.37,5,24
0.37,10,24
0.37,15,25
0.37,20,25
0.37,25,26
0.37,30,26
0.37,35,26
0.37,40,26
0.37,45,26
0.37,50,27
0.37,55,27
0.37,60,27
0.37,65,27
0.37,70,27
0.37,75,27
0.37,80,27
0.37,85,27
0.37,90,27
0.37,95,27
0.37,100,27
0.38,-100,31
0.38,-95,31
0.38,-90,31
0.38,-85,31
0.38,-80,30
0.38,-75,30
0.38,-70,30
0.38,-65,30
0.38,-60,30
0.38,-55,30
0.38,-50,30
0.38,-45,30
0.38,-40,29
0.38,-35,29
0.38,-30,29
0.38,-25,29
0.38,-20,28
0.38,-15,28
0.38,-10,27
0.38,-5,26
0.38,0,23
0.38,5,26
0.38,10,27
0.38,15,28
0.38,20,28
0.38,25,29
0.38,30,29
0.38,35,29
0.38,40,29
0.38,45,30
0.38,50,30
0.38,55,30
0.38,60,30
0.38,65,30
0.38,70,30
0.38,75,30
0.38,80,30
0.38,85,31
0.38,90,31
0.38,95,31
0.38,100,31
0.39,-100,35
0.39,-95,35
0.39,-90,34
0.39,-85,34
0.39,-80,34
0.39,-75,34
0.39,-70,34
0.39,-65,34
0.39,-60,34
0.39,-55,34
0.39,-50,33
0.39,-45,33
0.39,-40,33
0.39,-35,33
0.39,-30,33
0.39,-25,32
0.39,-20,32
0.39,-15,31
0.39,-10,31
